Time resolution is 1 ps
---- EKF SOC Simulation Started ----
Time=1255000 | SOC=81.80 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1265000 | SOC=81.81 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1275000 | SOC=81.83 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1285000 | SOC=81.84 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1295000 | SOC=81.86 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1305000 | SOC=81.88 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1315000 | SOC=81.89 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1325000 | SOC=81.91 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1335000 | SOC=81.92 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1345000 | SOC=81.94 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1355000 | SOC=81.95 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1365000 | SOC=81.97 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1375000 | SOC=81.98 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1385000 | SOC=82.00 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1395000 | SOC=82.02 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1405000 | SOC=82.03 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1415000 | SOC=82.05 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1425000 | SOC=82.06 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1435000 | SOC=82.08 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1445000 | SOC=82.09 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1455000 | SOC=82.11 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1465000 | SOC=82.12 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1475000 | SOC=82.14 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1485000 | SOC=82.16 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1495000 | SOC=82.17 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1505000 | SOC=82.19 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1515000 | SOC=82.20 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1525000 | SOC=82.22 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1535000 | SOC=82.23 | V_est=3.492 | V_meas=3.648 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
